name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
11 Com b,11 Com,323.21,1.178,,4914.89848585,Msini,radial-velocity,2007,Xinglong Station,,,0.238,,G8 III,4874.0,13.76,2.09,93.1846,185.1787793,17.7932516,cold-jupiter
11 UMi b,11 UMi,516.21997,1.53,,4684.8142,Msini,radial-velocity,2009,Thueringer Landessternwarte Tautenburg,,,0.08,,,4213.0,29.79,2.78,125.321,229.2745954,71.8239428,cold-jupiter
14 And b,14 And,186.76,0.775,,1131.15130051,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.0,,K0 III,4888.0,11.55,1.78,75.4392,352.82415,39.2358367,cold-jupiter
14 Her b,14 Her,1765.0389,2.774,,2559.47216157,Mass,radial-velocity,2002,W. M. Keck Observatory,,,0.373,,,,,0.91,17.9323,242.6021014,43.8163621,cold-jupiter
16 Cyg B b,16 Cyg B,798.5,1.66,,565.7374,Msini,radial-velocity,1996,Multiple Observatories,,,0.68,,,5750.0,1.13,1.08,21.1397,295.4656422,50.5168243,cold-jupiter
17 Sco b,17 Sco,578.38,1.45,,1373.01871824,Msini,radial-velocity,2020,Lick Observatory,,,0.06,,K3 III,4157.0,25.92,1.22,124.953,243.4620874,-11.8377905,cold-jupiter
18 Del b,18 Del,982.85,2.476,,2926.24614325,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.024,,G6 III,4980.0,8.8,2.1,76.222,314.6078375,10.8391378,cold-jupiter
24 Boo b,24 Boo,30.33,0.194,,280.64248338,Msini,radial-velocity,2018,Okayama Astrophysical Observatory,,,0.032,,G3 IV,4816.0,12.19,1.05,95.9863,217.1555242,49.8446488,cold-jupiter
24 Sex b,24 Sex,452.8,1.333,,632.46,Msini,radial-velocity,2010,Lick Observatory,,,0.09,,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998,cold-jupiter
24 Sex c,24 Sex,883.0,2.08,,273.32,Msini,radial-velocity,2010,Lick Observatory,,,0.29,,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998,cold-jupiter
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.8401773159150828,,591.16083702,Msini,other,2015,Kepler,,,0.33,,,29564.0,0.203,0.48,396.332,294.6359173,46.0664076,cold-jupiter
4 UMa b,4 UMa,270.27,0.877,,2511.48007211,Msini,radial-velocity,2006,Thueringer Landessternwarte Tautenburg,,,0.453,,K1 III,4415.0,18.11,1.234,73.4603,130.0528099,64.3280504,cold-jupiter
47 UMa b,47 UMa,1078.0,2.1,,804.08,Msini,radial-velocity,1996,Lick Observatory,,,0.032,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,cold-jupiter
47 UMa c,47 UMa,2391.0,3.6,,171.621,Msini,radial-velocity,2001,Lick Observatory,,,0.098,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,cold-jupiter
47 UMa d,47 UMa,14002.0,11.6,,521.22,Msini,radial-velocity,2009,Lick Observatory,,,0.16,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,cold-jupiter
51 Eri b,51 Eri,9100.0,10.4,,3464.3296363,Mass,direct-imaging,2015,Gemini Observatory,,,0.57,,,,,1.75,29.7575,69.4007424,-2.4738245,cold-jupiter
51 Peg b,51 Peg,4.230785,0.0527,,150.009,Msini,radial-velocity,1995,Haute-Provence Observatory,,,0.013,,,5758.0,1.17561,1.03,15.4614,344.3675399,20.7690958,hot-jupiter
55 Cnc B b,55 Cnc B,6.7994,0.044,,3.5,Msini,radial-velocity,2025,Mauna Kea Observatory,,,0.0,,M4.5 V,3286.0,0.274,0.26,12.4773,133.167908,28.3152863,super-earth
55 Cnc B c,55 Cnc B,33.747,0.13,,5.3,Msini,radial-velocity,2025,Mauna Kea Observatory,,,0.0,,M4.5 V,3286.0,0.274,0.26,12.4773,133.167908,28.3152863,super-earth
55 Cnc b,55 Cnc,14.651552,0.118,,276.0,Msini,radial-velocity,1996,Lick Observatory,,,0.0029,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,cold-jupiter
55 Cnc c,55 Cnc,44.3936,0.247,,56.6,Msini,radial-velocity,2004,McDonald Observatory,,,0.088,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,sub-neptune
55 Cnc d,55 Cnc,4799.0,5.6,,1214.10451474,Msini,radial-velocity,2002,Lick Observatory,,,0.0913,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,cold-jupiter
55 Cnc e,55 Cnc,0.7365474,0.01544,1.875,7.99,Mass,radial-velocity,2004,McDonald Observatory,,6.66,0.05,,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154,super-earth
55 Cnc f,55 Cnc,260.58,0.802,,48.5,Msini,radial-velocity,2007,Multiple Observatories,,,0.063,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,neptune-like
6 Lyn b,6 Lyn,919.86,2.028,,597.83523357,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.042,,K0 IV,4941.0,4.94,1.32,54.6599,97.6960311,58.1611753,cold-jupiter
61 Vir b,61 Vir,4.215,0.050201,,5.1,Msini,radial-velocity,2009,Multiple Observatories,,,0.12,,G5 V,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745,super-earth
61 Vir c,61 Vir,38.021,0.2175,,18.2,Msini,radial-velocity,2009,Multiple Observatories,,,0.14,,G5 V,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745,neptune-like
61 Vir d,61 Vir,123.01,0.476,,22.9,Msini,radial-velocity,2009,Multiple Observatories,,,0.35,,G5 V,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745,neptune-like
7 CMa b,7 CMa,735.1,1.758,,587.9855,Msin(i)/sin(i),radial-velocity,2011,Anglo-Australian Telescope,,,0.06,,,4826.0,4.87,1.34,19.8101,99.171276,-19.2561808,cold-jupiter
7 CMa c,7 CMa,996.0,2.153,,276.5121,Msin(i)/sin(i),radial-velocity,2019,Multiple Observatories,,,0.08,,,4826.0,4.87,1.34,19.8101,99.171276,-19.2561808,cold-jupiter
70 Vir b,70 Vir,116.688,0.481,,2357.02728,Msini,radial-velocity,1996,Lick Observatory,,,0.3988,,,5495.0,1.89,1.09,17.9011,202.1064898,13.7763085,cold-jupiter
75 Cet b,75 Cet,696.62,1.912,,787.89662095,Msini,radial-velocity,2012,Okayama Astrophysical Observatory,,,0.093,,G3 III,4809.0,10.38,1.92,82.9613,38.0391598,-1.0350269,cold-jupiter
75 Cet c,75 Cet,2051.62,3.929,,289.85950718,Msini,radial-velocity,2023,Okayama Astrophysical Observatory,,,0.023,,G3 III,4809.0,10.38,1.92,82.9613,38.0391598,-1.0350269,cold-jupiter
8 UMi b,8 UMi,93.31,0.462,,524.41687155,Msini,radial-velocity,2015,Bohyunsan Optical Astronomical Observatory,,,0.062,,,4847.0,10.73,1.51,162.552,224.201685,74.9009379,cold-jupiter
81 Cet b,81 Cet,1005.57,2.104,,1051.05854195,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.037,,G5 III,4734.0,11.21,1.23,101.26,39.4243555,-3.3963607,cold-jupiter
91 Aqr b,91 Aqr,181.4,0.7,,1017.0,Msini,radial-velocity,2013,Lick Observatory,,,0.027,,K0 III,4665.0,11.0,1.4,44.0304,348.9745031,-9.0878076,cold-jupiter
AF Lep b,AF Lep,8905.0,8.996,,1147.36054927,Mass,direct-imaging,2023,Paranal Observatory,,,0.015,,F8,,,1.218,26.8564,81.7699216,-11.9011752,cold-jupiter
AT2021ueyL b,AT2021ueyL,4168.69,4.01,,425.89006538,Mass,microlensing,2025,Multiple Observatories,,,,,M V,3680.0,,0.49,1040.0,324.5450417,26.4665694,cold-jupiter
AU Mic b,AU Mic,8.46308,0.0649,3.95677019,,,transit-other,2020,Transiting Exoplanet Survey Satellite (TESS),600.0,,0.00577,21.2,,3678.0,0.744,0.51,9.7221,311.2911369,-31.34245,neptune-like
AU Mic c,AU Mic,18.85969,0.1108,2.52202066,,,transit-other,2021,Transiting Exoplanet Survey Satellite (TESS),459.0,,0.00338,7.3,,3678.0,0.744,0.51,9.7221,311.2911369,-31.34245,neptune-like
AU Mic d,AU Mic,12.73596,0.08527420905797661,,1.053,Mass,transit-other,2023,Multiple Observatories,,,0.00305,,,3678.0,0.744,0.51,9.7221,311.2911369,-31.34245,rocky
AU Mic e,AU Mic,33.11,0.17020137105839012,,21.1,Mass,radial-velocity,2025,Mauna Kea Observatory,,,,,,3665.0,0.82,0.6,9.7221,311.2911369,-31.34245,neptune-like
BD+03 2562 b,BD+03 2562,481.9,1.3,,2034.112,Msini,radial-velocity,2017,Multiple Observatories,,,0.2,,,4095.0,32.35,1.14,1070.63,177.5647268,2.7601075,cold-jupiter
BD+05 4868 A b,BD+05 4868 A,1.271869,0.0208,,6.2,Mass,transit-other,2025,Transiting Exoplanet Survey Satellite (TESS),1820.0,,,,K V,4596.0,0.69,0.7,43.5687,326.8614036,6.6053185,super-earth
BD+14 4559 b,BD+14 4559,268.94,0.78,,330.5432,Msini,radial-velocity,2009,McDonald Observatory,,,0.29,,,4864.0,0.86,0.49,49.352,318.4010002,14.6893834,cold-jupiter
BD+15 2375 b,BD+15 2375,153.22,0.576,,337.21763,Msini,radial-velocity,2016,Roque de los Muchachos Observatory,,,0.001,,,4649.0,8.95,1.08,768.045,176.4820239,14.6163182,cold-jupiter
BD+15 2940 b,BD+15 2940,137.48,0.539,,352.78,Msini,radial-velocity,2013,McDonald Observatory,,,0.26,,K0,4796.0,14.7,1.1,426.42,240.09564,15.5467507,cold-jupiter
BD+20 2457 b,BD+20 2457,379.63,1.45,,6807.63,Msini,radial-velocity,2009,McDonald Observatory,,,0.15,,K2 II,4137.0,49.0,2.8,1539.71,154.186782,19.8912626,cold-jupiter
BD+20 2457 c,BD+20 2457,621.99,2.01,,3963.17,Msini,radial-velocity,2009,McDonald Observatory,,,0.18,,K2 II,4137.0,49.0,2.8,1539.71,154.186782,19.8912626,cold-jupiter
BD+20 274 b,BD+20 274,578.2,1.3,,1334.886,Msini,radial-velocity,2012,McDonald Observatory,,,0.21,,K5 III,4296.0,17.3,0.8,1322.51,25.9203179,21.0052692,cold-jupiter
BD+20 594 b,BD+20 594,41.6855,0.27914853352378105,2.57807,22.2481,Mass,transit-kepler,2016,K2,,,0.0,,,5766.0,1.08,1.67,179.461,53.6511231,20.5990205,neptune-like
BD+37 3172 b,BD+37 3172,1887.76,4.65,,3368.9811142,Msini,radial-velocity,2023,McDonald Observatory,,,0.59,,,4500.0,50.24,3.75,454.251,278.8155071,38.1153886,cold-jupiter
BD+42 2315 b,BD+42 2315,123.05,0.54,,174.80562385,Msini,radial-velocity,2023,McDonald Observatory,,,0.73,,,4500.0,17.85,1.38,610.715,187.5887597,41.2695674,cold-jupiter
BD+45 564 b,BD+45 564,307.88,0.83,,432.24663352,Msini,radial-velocity,2021,Haute-Provence Observatory,,,0.12,,K1,5004.0,,0.81,53.622,32.9470485,45.9242187,cold-jupiter
BD+48 738 b,BD+48 738,392.6,1.0,,289.2253,Msini,radial-velocity,2011,McDonald Observatory,,,0.2,,K0 III,4414.0,11.0,0.74,871.493,40.7102869,49.5869395,cold-jupiter
BD+48 740 b,BD+48 740,733.0,1.7,,540.311,Msini,radial-velocity,2018,Multiple Observatories,,,0.76,,,4534.0,10.33,1.09,666.589,40.7425426,48.9300579,cold-jupiter
BD+49 828 b,BD+49 828,2590.0,4.2,,508.5,Msini,radial-velocity,2015,McDonald Observatory,,,0.35,,K0,4943.0,7.6,1.52,442.042,45.6406187,49.7299481,cold-jupiter
BD+55 362 b,BD+55 362,265.59,0.78,,228.83645304,Msini,radial-velocity,2021,Haute-Provence Observatory,,,0.27,,K3,5012.0,,0.909,52.5697,23.9636676,56.6982282,cold-jupiter
BD+63 1405 b,BD+63 1405,1198.48,2.06,,1258.60049172,Msini,radial-velocity,2021,Haute-Provence Observatory,,,0.88,,K0,5000.0,,0.816,38.0473,271.3979337,63.6700064,cold-jupiter
BD-06 1339 c,BD-06 1339,125.94,0.435,,53.0,Msini,radial-velocity,2013,La Silla Observatory,,,0.31,,K7/M0 V,4324.0,,0.7,20.2695,88.2511811,-5.9963378,sub-neptune
BD-08 2823 b,BD-08 2823,5.6,0.06,,12.7132,Msini,radial-velocity,2009,La Silla Observatory,,,0.15,,,4816.0,0.71,0.5,41.3342,150.1971964,-9.5165689,neptune-like
BD-08 2823 c,BD-08 2823,237.6,0.68,,104.0,Msini,radial-velocity,2009,La Silla Observatory,,,0.19,,K3 V,4746.0,,0.74,41.3342,150.1971964,-9.5165689,cold-jupiter
BD-10 3166 b,BD-10 3166,3.48777,0.04,,187.5197,Msini,radial-velocity,2000,W. M. Keck Observatory,,,0.02,,,5393.0,0.91,1.47,84.4069,164.6191243,-10.7704227,hot-jupiter
BD-11 4672 b,BD-11 4672,1634.0,2.36,,206.5895,Msini,radial-velocity,2014,La Silla Observatory,,,0.05,,,4550.0,0.639,0.651,27.1665,278.3688659,-11.6370481,cold-jupiter
BD-11 4672 c,BD-11 4672,74.2,0.3,,15.37,Msini,radial-velocity,2020,Roque de los Muchachos Observatory,,,0.4,,,4550.0,0.639,0.651,27.1665,278.3688659,-11.6370481,neptune-like
BD-13 2130 b,BD-13 2130,714.29999,1.66,,3108.3774,Msini,radial-velocity,2007,La Silla Observatory,,,0.21,,,4545.0,19.17,2.12,925.214,114.2884692,-13.9066703,cold-jupiter
BD-14 3065 b,BD-14 3065 A,4.2889731,0.0656,21.59,3932.0,Mass,transit-other,2024,Transiting Exoplanet Survey Satellite (TESS),2001.0,2.15,0.066,,,6935.0,2.35,1.41,589.423,153.6696689,-15.6428372,hot-jupiter
BD-17 63 b,BD-17 63,655.57,1.336468212923077,,1639.99458012,Mass,radial-velocity,2008,La Silla Observatory,,,0.5439,,,,,0.741,34.4603,7.1413494,-16.2273254,cold-jupiter
BD-210397 b,BD-210397,1891.0,2.63,,214.0,Msini,radial-velocity,2023,La Silla Observatory,,,0.1,0.02,K7 V,4051.0,0.747,0.679,23.7324,33.3024198,-21.1962147,cold-jupiter
BD-210397 c,BD-210397,6240.0,5.9,,1525.5763536,Mass,radial-velocity,2023,La Silla Observatory,,,0.43,,K7 V,,,0.69,23.7324,33.3024198,-21.1962147,cold-jupiter
BEBOP-3 b,BEBOP-3,547.0,1.444,,177.34825111,Msini,radial-velocity,2025,Haute-Provence Observatory,,,0.247,,,6033.0,1.414,1.083,119.052,110.902655,79.1323952,cold-jupiter
BEBOP-4 AB b,BEBOP-4 A,1823.5,3.634,,8358.8871041,Mass,radial-velocity,2025,Haute-Provence Observatory,,,0.428,,G3 V,,,1.507,234.294,192.5772651,26.1595358,cold-jupiter
Barnard b,Barnard's star,3.1542,0.0229,,0.299,Msini,radial-velocity,2024,Paranal Observatory,438.0,,0.03,,M3.5-4 V,3195.0,0.185,0.162,1.82655,269.4486144,4.7379808,rocky
Barnard c,Barnard's star,4.1244,0.0274,,0.335,Msini,radial-velocity,2025,Gemini Observatory,400.0,,0.08,,M3.5-4 V,3195.0,0.185,0.162,1.82655,269.4486144,4.7379808,rocky
Barnard d,Barnard's star,2.3402,0.0188,,0.263,Msini,radial-velocity,2025,Gemini Observatory,483.0,,0.04,,M3.5-4 V,3195.0,0.185,0.162,1.82655,269.4486144,4.7379808,rocky
Barnard e,Barnard's star,6.7392,0.0381,,0.193,Msini,radial-velocity,2025,Gemini Observatory,340.0,,0.04,,M3.5-4 V,3195.0,0.185,0.162,1.82655,269.4486144,4.7379808,rocky
CD Cet b,CD Cet,2.2907,0.0185,,3.95,Msini,radial-velocity,2020,Calar Alto Observatory,464.0,,,8.6,M5.0 V,3130.0,0.175,0.161,8.60715,48.3530155,4.7751881,super-earth
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,2.6,,3337.1,Mass,direct-imaging,2011,W. M. Keck Observatory,370.0,,,,,580.5,,0.021,,224.6208333,10.2286111,cold-jupiter
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,200.0,20.8487041,2479.0615746,Mass,direct-imaging,2021,Hubble Space Telescope,1800.0,,,,M9-L1,2320.0,0.245,0.0147,,246.934277,-23.98115,cold-jupiter
CI Tau c,CI Tau,25.2,0.17,,1144.1822652,Msini,radial-velocity,2024,Multiple Observatories,,,0.58,,,,,,157.998,68.4667685,22.8416192,cold-jupiter
CoRoT-1 b,CoRoT-1,1.5089557,0.025310382706589793,16.7,327.35,Mass,transit-other,2008,CoRoT,1898.0,0.38,0.0,,G0 V,5950.0,1.11,0.95,787.909,102.0798591,-3.1021394,hot-jupiter
CoRoT-10 b,CoRoT-10,13.2406,0.1055,10.87,874.0,Mass,transit-other,2010,CoRoT,600.0,3.7,0.53,,K1 V,5075.0,0.79,0.89,338.386,291.0636813,0.7460143,cold-jupiter
CoRoT-11 b,CoRoT-11,2.99433,0.0436,16.03,740.51,Mass,transit-other,2010,CoRoT,1657.0,0.99,0.0,,F6 V,6440.0,1.37,1.27,655.037,280.6872998,5.9376586,hot-jupiter
CoRoT-12 b,CoRoT-12,2.828042,0.04016,16.14,291.438,Mass,transit-other,2010,CoRoT,1442.0,0.411,0.07,,,5675.0,1.116,1.078,1126.37,100.7656871,-1.2964437,hot-jupiter
CoRoT-13 b,CoRoT-13,4.03519,0.051,9.92,415.704,Mass,transit-other,2010,CoRoT,1700.0,2.34,0.0,,G0 V,5945.0,1.01,1.09,1148.93,102.7211432,-5.0864557,hot-jupiter
CoRoT-14 b,CoRoT-14,1.51214,0.027,12.22,2415.4,Mass,transit-other,2010,CoRoT,1952.0,7.3,0.0,,F9 V,6035.0,1.21,1.13,1744.6,103.4242023,-5.5360385,hot-jupiter
CoRoT-16 b,CoRoT-16,5.35227,0.0618,13.11,170.032,Mass,transit-other,2011,CoRoT,,0.44,0.33,,G5 V,5650.0,1.19,1.098,732.409,278.5246658,-6.0026026,hot-jupiter
CoRoT-17 b,CoRoT-17,3.7681,0.0461,11.43,772.29,Mass,transit-other,2011,CoRoT,1626.0,2.82,0.0,,G2 V,5740.0,1.59,1.04,1176.12,278.699236,-6.612288,hot-jupiter
CoRoT-18 b,CoRoT-18,1.9000693,0.0295,14.68,1102.82,Mass,transit-other,2011,CoRoT,1550.0,2.2,0.08,,G9 V,5440.0,1.0,0.95,764.889,98.1724172,-0.0316045,hot-jupiter
CoRoT-19 b,CoRoT-19,3.89713,0.0518,14.46,352.78,Mass,transit-other,2011,CoRoT,2000.0,0.71,0.047,,F9 V,6090.0,1.65,1.21,790.663,97.0335983,-0.1707293,hot-jupiter
CoRoT-2 b,CoRoT-2,1.7429935,0.02798,16.432,1102.82,Mass,transit-other,2008,CoRoT,,1.47,0.0143,,,5625.0,0.906,0.96,213.283,291.7770457,1.3836634,hot-jupiter
CoRoT-20 b,CoRoT-20,9.24285,0.09,,1366.669,Mass,transit-other,2011,CoRoT,,,0.59,,,,,1.14,844.061,97.7204249,0.2268931,hot-jupiter
CoRoT-20 c,CoRoT-20,1675.0,2.9,,5403.11,Msini,radial-velocity,2018,Multiple Observatories,,,0.6,,,,,1.14,844.061,97.7204249,0.2268931,cold-jupiter
CoRoT-21 b,CoRoT-21,2.72474,0.0417,14.5717,718.2958,Mass,transit-other,2012,CoRoT,,1.36,0.0,,F8 IV,6200.0,1.95,1.29,,101.0526207,-0.2991544,hot-jupiter
CoRoT-22 b,CoRoT-22,9.75598,0.092,4.88,12.2,Mass,transit-other,2014,CoRoT,885.0,0.249,0.077,,G3 V,5939.0,1.136,1.099,627.158,280.6671392,6.2191669,neptune-like
CoRoT-23 b,CoRoT-23,3.6313,0.048,11.77,889.9,Mass,transit-other,2011,CoRoT,1660.0,3.0,0.16,,G0 V,5900.0,1.61,1.14,1060.97,279.7826586,4.3577516,hot-jupiter
CoRoT-24 b,CoRoT-24,5.1134,0.056,3.7,5.7,Mass,transit-other,2014,CoRoT,1070.0,0.9,0.0,,K1 V,4950.0,0.86,0.91,591.555,101.922543,-3.7192892,sub-neptune
CoRoT-24 c,CoRoT-24,11.759,0.098,5.0,28.0,Mass,transit-other,2014,CoRoT,850.0,1.3,0.0,,K1 V,4950.0,0.86,0.91,591.555,101.922543,-3.7192892,neptune-like
CoRoT-25 b,CoRoT-25,4.86069,0.0578,12.11,85.81,Mass,transit-other,2013,CoRoT,1330.0,0.15,0.0,,F9,6040.0,1.19,1.09,1103.48,280.6296561,6.5138223,sub-neptune
CoRoT-26 b,CoRoT-26,4.20474,0.0526,14.12,165.26,Mass,transit-other,2013,CoRoT,1600.0,0.28,0.0,,G5,5590.0,1.79,1.09,1045.18,279.7504991,6.9697828,hot-jupiter
CoRoT-27 b,CoRoT-27,3.57532,0.0476,11.287,3302.11,Mass,transit-other,2014,CoRoT,1500.0,12.6,0.065,,G2,5900.0,1.08,1.05,1010.28,278.4958319,5.5383811,hot-jupiter
CoRoT-28 b,CoRoT-28,5.20851,0.0603,10.704595,153.82972,Mass,transit-other,2015,CoRoT,,0.69,0.047,,G8/9 IV,5150.0,1.78,1.01,766.183,278.6883216,5.5736911,hot-jupiter
CoRoT-29 b,CoRoT-29,2.85057,0.0386,10.0881,270.1555,Mass,transit-other,2015,CoRoT,,1.45,0.082,,K0 V,5260.0,0.9,0.97,806.507,278.9020691,6.4795703,hot-jupiter
CoRoT-3 b,CoRoT-3,4.2568,0.05709116035074877,11.32,6883.91,Mass,transit-other,2008,CoRoT,,26.4,0.0,,F3 V,6740.0,1.56,1.37,768.771,292.0552827,0.1218359,hot-jupiter
CoRoT-30 b,CoRoT-30,9.06005,0.0844,11.309881,921.707,Mass,transit-other,2020,CoRoT,,3.45,0.007,,G3 V,5650.0,0.91,0.98,1032.23,277.6011767,6.8359338,hot-jupiter
CoRoT-31 b,CoRoT-31,4.62941,0.0586,16.36514,266.9772,Mass,transit-other,2020,CoRoT,,0.33,0.02,,G2 IV,5700.0,2.15,1.25,2005.76,94.820735,-4.4222978,hot-jupiter
CoRoT-32 b,CoRoT-32,6.71837,0.071,6.38913,47.6745,Mass,transit-other,2018,CoRoT,938.0,1.1,,132.26,G0 VI,5970.0,0.79,1.08,576.683,100.1951714,9.2573953,neptune-like
CoRoT-35 b,CoRoT-35,3.22748,0.0429,18.83108758,349.6112477,Mass,transit-other,2022,CoRoT,1747.0,0.29,0.0,,F6 V,6390.0,1.65,1.01,1123.21,289.3143526,-2.7747085,hot-jupiter
CoRoT-36 b,CoRoT-36,5.616531,0.066,15.80466279,216.12331676,Mass,transit-other,2022,CoRoT,1567.0,0.25,0.0,,F3 V,6730.0,1.52,1.32,925.958,277.7510149,7.1833465,hot-jupiter
CoRoT-4 b,CoRoT-4,9.20205,0.09,13.34,228.83,Mass,transit-other,2008,CoRoT,1074.0,0.525,0.0,,,6190.0,1.17,1.16,726.412,102.1946233,-0.6727861,hot-jupiter
CoRoT-5 b,CoRoT-5,4.0378962,0.04947,15.558,148.42,Mass,transit-other,2009,CoRoT,1438.0,0.217,0.09,,F9 V,6100.0,1.186,1.0,882.472,101.2772396,0.8152163,hot-jupiter
CoRoT-6 b,CoRoT-6,8.886593,0.0855,13.068,940.74,Mass,transit-other,2009,CoRoT,1017.0,2.32,0.1,,F9 V,6090.0,1.025,1.05,645.294,281.0725563,6.6632062,hot-jupiter
CoRoT-7 b,CoRoT-7,0.85359163,0.01648331530944863,1.68135,4.07660518,Mass,transit-other,2009,CoRoT,,,0.0,,,5275.0,0.83,0.82,159.906,100.9561682,-1.0630076,super-earth
CoRoT-7 c,CoRoT-7,3.698,0.046,,8.4,Mass,radial-velocity,2009,CoRoT,,,0.0,,,5256.0,0.864273,0.899,159.906,100.9561682,-1.0630076,super-earth
CoRoT-7 d,CoRoT-7,8.966,0.08199978329210535,,17.142,Mass,radial-velocity,2022,La Silla Observatory,,,,,G9 V,5250.0,,0.915,159.906,100.9561682,-1.0630076,neptune-like
CoRoT-8 b,CoRoT-8,6.21229,0.063,6.39,69.92,Mass,transit-other,2010,CoRoT,,1.6,0.0,,K1 V,5080.0,0.77,0.88,322.037,291.5885696,1.4262972,sub-neptune
CoRoT-9 b,CoRoT-9,95.272656,0.4021,11.948794,266.9772,Mass,transit-other,2009,CoRoT,420.0,0.86,0.133,,,5625.0,0.96,0.96,412.98,280.7866461,6.2040783,cold-jupiter
DE CVn b,DE CVn,4098.1,5.75,,3823.27330161,Msin(i)/sin(i),other,2018,Multiple Facilities,,,0.0,,,,,0.51,30.5225,201.7207198,45.5455449,cold-jupiter
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,0.36,,9057.77,Mass,astrometry,2013,Paranal Observatory,,,0.345,,L1.5,,,0.075,,125.7620668,-49.2003008,cold-jupiter
DMPP-1 b,DMPP-1,18.57,0.1462,,24.27,Msini,radial-velocity,2019,La Silla Observatory,877.0,,0.083,,F8 V,6196.0,1.26,1.21,62.5388,86.7761233,-10.6303217,neptune-like
DMPP-1 c,DMPP-1,6.584,0.0733,,9.6,Msini,radial-velocity,2019,La Silla Observatory,1239.0,,0.057,,F8 V,6196.0,1.26,1.21,62.5388,86.7761233,-10.6303217,super-earth
DMPP-1 d,DMPP-1,2.882,0.0422,,3.35,Msini,radial-velocity,2019,La Silla Observatory,1632.0,,0.07,,F8 V,6196.0,1.26,1.21,62.5388,86.7761233,-10.6303217,super-earth
DMPP-1 e,DMPP-1,5.516,0.0651,,4.13,Msini,radial-velocity,2019,La Silla Observatory,1314.0,,0.07,,F8 V,6196.0,1.26,1.21,62.5388,86.7761233,-10.6303217,super-earth
DMPP-2 b,DMPP-2,5.2072,0.0664,,138.89171,Msini,radial-velocity,2019,Multiple Facilities,1000.0,,0.078,,F5 V,6500.0,1.78,1.44,137.94,27.407731,-34.4590985,hot-jupiter
DMPP-3 A b,DMPP-3 A,6.6732,0.0662,,2.58,Msini,radial-velocity,2019,La Silla Observatory,854.0,,0.14,,K0 V,5138.0,0.91,0.87,45.23,91.624382,-72.5126648,super-earth
DMPP-4 b,DMPP-4,3.4982,0.04853,,12.2,Msini,radial-velocity,2023,Multiple Observatories,,,0.063,,F5-F8 V,6400.0,1.38,1.25,25.3284,293.5826648,51.2358069,neptune-like
DP Leo b,DP Leo,10220.0,8.19,,1922.79,Msini,other,2009,Yunnan Astronomical Observatory,,,0.39,,,,,0.69,305.684,169.3162193,17.9615717,cold-jupiter
DS Tuc A b,DS Tuc A,8.138268,0.07944531654764665,5.7,,,transit-other,2019,Transiting Exoplanet Survey Satellite (TESS),850.0,,0.0,,G6 V,5428.0,0.964,1.01,44.0622,354.9154673,-69.196043,sub-neptune
EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,1.047,,,transit-kepler,2020,K2,,,0.0,,,3648.0,0.282,0.287,,170.1408561,-4.8070039,rocky
EPIC 201238110 b,EPIC 201238110,28.1656,0.13459031431176074,1.87,,,transit-kepler,2019,K2,,,,,,,,0.41,159.259,179.7058532,-3.3894613,super-earth
EPIC 201427007 b,EPIC 201427007,0.72091,0.015734775473111987,1.5,,,transit-kepler,2021,K2,,,,,,5633.0,0.94,,706.391,184.6021322,-0.5512886,super-earth
EPIC 201497682 b,EPIC 201497682,2.13174,0.02983968315732427,0.692,,,transit-kepler,2019,K2,,,,,,,,0.78,253.026,168.9366786,0.4880606,rocky
EPIC 201595106 b,EPIC 201595106,0.87724,0.0177,1.565,7.67,Mass,transit-kepler,2021,K2,2038.0,11.1,0.0,2852.0,,5679.0,0.98,0.958,232.1,183.7203635,1.9681688,super-earth
EPIC 201615463 c,K2-166,3.80464,0.04882948426162351,1.22,,,transit-kepler,2019,K2,,,,,,,,1.073,476.882,185.1880932,2.2823788,rocky
