name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
HD 99706 b,HD 99706,841.0,1.98,,390.9309,Msini,radial-velocity,2011,W. M. Keck Observatory,,,0.25,,,4862.0,5.52,1.46,146.6,172.1261621,43.9662025,cold-jupiter
HD 99706 c,HD 99706,1278.0,2.7614460853329716,,1808.4527,Msini,radial-velocity,2018,W. M. Keck Observatory,,,0.411,,,,,1.72,146.6,172.1261621,43.9662025,cold-jupiter
HIP 105854 b,HIP 105854,184.2,0.81,,2606.1,Msini,radial-velocity,2014,Multiple Observatories,,,0.02,,K2 III,4780.0,,2.1,78.6381,321.5962275,-37.8294782,cold-jupiter
HIP 107772 b,HIP 107772,55.199,0.243,,12.9,Msini,radial-velocity,2020,Multiple Observatories,,,0.18,,M0 V,,,0.63,23.6434,327.4977057,-41.2440371,neptune-like
HIP 107773 b,HIP 107773,144.3,0.72,,629.3034,Msini,radial-velocity,2015,Multiple Observatories,,,0.09,,K1 III,4945.0,11.6,2.42,105.18,327.5005089,-64.7126993,cold-jupiter
HIP 109384 b,HIP 109384,499.48,1.134,,495.8148,Msini,radial-velocity,2016,Haute-Provence Observatory,,,0.549,,G5,5180.0,,0.78,58.9582,332.408972,71.313956,cold-jupiter
HIP 109600 b,HIP 109600,232.08,0.706,,851.7844,Msini,radial-velocity,2016,Haute-Provence Observatory,,,0.163,,G5,5530.0,,0.87,66.3361,333.027079,29.0662082,cold-jupiter
HIP 111909 b,HIP 111909,487.08,1.32,,384.57237247,Msini,radial-velocity,2025,Multiple Observatories,,,,,K1 III,4891.0,4.53,1.28,88.077,340.0304354,-49.5985391,cold-jupiter
HIP 111909 c,HIP 111909,893.63,1.97,,257.44100967,Msini,radial-velocity,2025,Multiple Observatories,,,,,K1 III,4891.0,4.53,1.28,88.077,340.0304354,-49.5985391,cold-jupiter
HIP 113103 b,HIP 113103,7.610303,0.06899,1.829,,,transit-other,2023,Transiting Exoplanet Survey Satellite (TESS),721.0,,0.17,,,4930.0,0.742,0.761,46.2122,343.5723794,-43.0102291,super-earth
HIP 113103 c,HIP 113103,14.245648,0.10479,2.4,,,transit-other,2023,Transiting Exoplanet Survey Satellite (TESS),585.0,,0.17,,,4930.0,0.742,0.761,46.2122,343.5723794,-43.0102291,neptune-like
HIP 114933 b,HIP 114933,1481.6,2.84,,616.58710958,Msini,radial-velocity,2021,Multiple Observatories,,,0.21,,K0 III,4823.0,5.27,1.39,101.766,349.2071949,-21.2033101,cold-jupiter
HIP 116454 b,HIP 116454,9.1004157,0.0792,2.469,9.7,Mass,transit-kepler,2014,K2,753.2,3.53,0.215,51.2858,,5048.0,0.758,0.8,62.4491,353.9543517,0.4447043,sub-neptune
HIP 12961 b,HIP 12961,57.435,0.25,,114.4188,Msini,radial-velocity,2010,La Silla Observatory,,,0.17,,,3901.0,0.65,0.69,23.371,41.6800749,-23.0860048,cold-jupiter
HIP 14810 b,HIP 14810,6.673892,0.0696,,1239.537,Msini,radial-velocity,2005,W. M. Keck Observatory,,,0.14399,,G5,5544.0,1.07,1.01,50.48,47.809275,21.0971302,hot-jupiter
HIP 14810 c,HIP 14810,147.747,0.549,,416.3573,Msini,radial-velocity,2006,W. M. Keck Observatory,,,0.1566,,G5,5544.0,1.07,1.01,50.48,47.809275,21.0971302,cold-jupiter
HIP 14810 d,HIP 14810,981.8,1.94,,187.5197,Msini,radial-velocity,2009,W. M. Keck Observatory,,,0.185,,G5,5544.0,1.07,1.01,50.48,47.809275,21.0971302,cold-jupiter
HIP 18606 b,HIP 18606,674.94,1.61,,244.72787339,Msini,radial-velocity,2025,Multiple Observatories,,,,,K0/1 III,4860.0,4.83,1.21,47.0288,59.7181058,-5.4706979,cold-jupiter
